name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id,created_at,updated_at
Jacqueline Aronson,1995,8,Four Rooms,movie,Costume & Make-Up,Costume Supervisor,1547239,2022-09-03 17:01:12,2022-09-03 17:01:12
Lynda Reiss,1995,8,Four Rooms,movie,Art,Property Master,1552012,2022-09-03 17:01:12,2022-09-03 17:01:12
Victor Iorillo,1995,8,Four Rooms,movie,Crew,Special Sound Effects,1552088,2022-09-03 17:01:12,2022-09-03 17:01:12
Marisol Jiménez,1995,8,Four Rooms,movie,Art,Art Department Coordinator,1556697,2022-09-03 17:01:12,2022-09-03 17:01:12
Mike Stanwick,1995,8,Four Rooms,movie,Editing,Color Timer,1564233,2022-09-03 17:01:12,2022-09-03 17:01:12
Edgar Arellano,1995,8,Four Rooms,movie,Lighting,Best Boy Electric,1601800,2022-09-03 17:01:12,2022-09-03 17:01:12
Paul Taglianetti,1995,8,Four Rooms,movie,Crew,Special Effects Coordinator,1602889,2022-09-03 17:01:12,2022-09-03 17:01:12
Nancy Willen,1995,8,Four Rooms,movie,Crew,Unit Publicist,1622121,2022-09-03 17:01:12,2022-09-03 17:01:12
Mynka Draper,1995,8,Four Rooms,movie,Costume & Make-Up,Costumer,1652417,2022-09-03 17:01:12,2022-09-03 17:01:12
Brian Bettwy,1995,8,Four Rooms,movie,Directing,Second Assistant Director,1685556,2022-09-03 17:01:12,2022-09-03 17:01:12
Darrell Dubovsky,1995,8,Four Rooms,movie,Crew,Driver,1686379,2022-09-03 17:01:12,2022-09-03 17:01:12
Paul Koronkiewicz,1995,8,Four Rooms,movie,Sound,Boom Operator,1695796,2022-09-03 17:01:12,2022-09-03 17:01:12
Rick Stribling,1995,8,Four Rooms,movie,Camera,Key Grip,1708344,2022-09-03 17:01:12,2022-09-03 17:01:12
Orlando,1995,8,Four Rooms,movie,Costume & Make-Up,Hairstylist,1745153,2022-09-03 17:01:12,2022-09-03 17:01:12
Bjørn Eivind Aarskog,1995,8,Four Rooms,movie,Camera,Second Assistant Camera,1841033,2022-09-03 17:01:12,2022-09-03 17:01:12
James C. Beeson,1995,8,Four Rooms,movie,Crew,Carpenter,1851724,2022-09-03 17:01:12,2022-09-03 17:01:12
Carlos A. Chavez,1995,8,Four Rooms,movie,Art,Painter,1851725,2022-09-03 17:01:12,2022-09-03 17:01:12
Marc Gillson,1995,8,Four Rooms,movie,Art,Lead Painter,1877352,2022-09-03 17:01:12,2022-09-03 17:01:12
T.D. Donnelly,1995,8,Four Rooms,movie,Art,Standby Painter,1877353,2022-09-03 17:01:12,2022-09-03 17:01:12
Elizabeth Bolden,1995,8,Four Rooms,movie,Camera,Grip,1877355,2022-09-03 17:01:12,2022-09-03 17:01:12
