name,character,year,movie_tv_id,movie_tv_name,type,department,order,actor_id
Colin Michael Kitchens,Stormtrooper (voice) (uncredited),1977,12,Star Wars,movie,Production,65,1271085
Melissa Kurtz,Jawa (uncredited),1977,12,Star Wars,movie,Acting,66,1271086
Tiffany Hillkurtz,Jawa (uncredited),1977,12,Star Wars,movie,Editing,67,1190780
Al Lampert,Daine Jir (uncredited),1977,12,Star Wars,movie,Acting,68,190453
Anthony Lang,BoShek (uncredited),1977,12,Star Wars,movie,Acting,69,1012562
Laine Liska,Muftak / Cantina Band Member (uncredited),1977,12,Star Wars,movie,Acting,70,1271091
Derek Lyons,Temple Guard / Medal Bearer (uncredited),1977,12,Star Wars,movie,Acting,71,1271092
Mahjoub,Jawa (uncredited),1977,12,Star Wars,movie,Acting,72,1271095
Alf Mangan,Takeel (uncredited),1977,12,Star Wars,movie,Acting,73,1271096
Grant McCune,Death Star Gunner (uncredited),1977,12,Star Wars,movie,Acting,74,1271102
Geoffrey Moon,Cantina Patron (uncredited),1977,12,Star Wars,movie,Acting,75,1271104
Mandy Morton,Swilla Corey (uncredited),1977,12,Star Wars,movie,Acting,76,1271106
Lorne Peterson,Massassi Base Rebel Scout (uncredited),1977,12,Star Wars,movie,Acting,77,1271107
Marcus Powell,Rycar Ryjerd (uncredited),1977,12,Star Wars,movie,Acting,78,1183443
Shane Rimmer,InCom Engineer (uncredited),1977,12,Star Wars,movie,Acting,79,10657
Pam Rose,Leesub Sirln (uncredited),1977,12,Star Wars,movie,Acting,80,1271116
George Roubicek,Cmdr. Praji (Imperial Officer #2 on rebel ship) (uncredited),1977,12,Star Wars,movie,Acting,81,110319
Erica Simmons,Tawss Khaa (uncredited),1977,12,Star Wars,movie,Acting,82,1271121
Angela Staines,Senni Tonnika (uncredited),1977,12,Star Wars,movie,Acting,83,1271122
George Stock,Cantina Patron (uncredited),1977,12,Star Wars,movie,Acting,84,1271123
Roy Straite,Cantina Patron (uncredited),1977,12,Star Wars,movie,Acting,85,1271124
Peter Sturgeon,Sai'torr Kal Fas (uncredited),1977,12,Star Wars,movie,Acting,86,1271125
Peter Sumner,Lt. Pol Treidum (uncredited),1977,12,Star Wars,movie,Acting,87,187398
John Sylla,Cantina Voices (voice) (uncredited),1977,12,Star Wars,movie,Acting,88,1271126
