name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id
Thomas Newman,2003,13,Finding Nemo,movie,Sound,Original Music Composer,153
Gary Rydstrom,2003,13,Finding Nemo,movie,Sound,Sound Designer,2216
Gary Rydstrom,2003,13,Finding Nemo,movie,Sound,Supervising Sound Editor,2216
Gary Rydstrom,2003,13,Finding Nemo,movie,Sound,Sound Re-Recording Mixer,2216
Bill Bernstein,2003,13,Finding Nemo,movie,Sound,Music Editor,7538
Ralph Eggleston,2003,13,Finding Nemo,movie,Art,Production Design,7883
Dominique Louis,2003,13,Finding Nemo,movie,Visual Effects,Visual Development,7891
Glenn McQueen,2003,13,Finding Nemo,movie,Crew,In Memory Of,7892
Rich Quade,2003,13,Finding Nemo,movie,Visual Effects,Animation,7893
Mary Hidalgo,2003,13,Finding Nemo,movie,Production,Casting,7903
Marcia Gwendolyn Jones,2003,13,Finding Nemo,movie,Production,Production Supervisor,7912
Geefwee Boedoe,2003,13,Finding Nemo,movie,Visual Effects,Visual Development,7925
Ricky Nierva,2003,13,Finding Nemo,movie,Art,Art Direction,7927
Angus MacLane,2003,13,Finding Nemo,movie,Visual Effects,Animation,7929
Glenn Kim,2003,13,Finding Nemo,movie,Visual Effects,CG Painter,7943
Laura Phillips,2003,13,Finding Nemo,movie,Visual Effects,CG Painter,7944
Jamie Frye,2003,13,Finding Nemo,movie,Visual Effects,CG Painter,7946
Yvonne Herbst,2003,13,Finding Nemo,movie,Visual Effects,CG Painter,7948
Robin Cooper,2003,13,Finding Nemo,movie,Art,Art Direction,7949
Randy Berrett,2003,13,Finding Nemo,movie,Art,Art Direction,7952
Albert Lozano,2003,13,Finding Nemo,movie,Crew,Production Artist,7955
Nathaniel McLaughlin,2003,13,Finding Nemo,movie,Crew,Production Artist,7956
Bud Thon,2003,13,Finding Nemo,movie,Crew,Production Artist,7957
Jerome Ranft,2003,13,Finding Nemo,movie,Art,Sculptor,7960
Carter Goodrich,2003,13,Finding Nemo,movie,Visual Effects,Visual Development,7963
Peter DeSève,2003,13,Finding Nemo,movie,Visual Effects,Visual Development,7967
